enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,protein_g,tuz_g,lif_g,sodyum_g,nova_grubu,nutriscore_notu,seker_orani,protein_orani,doymus_yag_orani
327.0,1.8,0.2,44.5,1.1,25.1,0.0,16.4,0.0,1.0,A,0.024175824175824177,0.07652439024390244,0.07142857142857144
57.0,0.2,0.1,3.9,3.9,10.0,0.09,2.0,0.036,1.0,A,0.7959183673469387,0.1724137931034483,0.08333333333333334
173.0,4.8,0.4,10.4,3.0,20.0,1.1,4.3,0.44,4.0,A,0.2631578947368421,0.11494252873563218,0.06896551724137931
637.0,55.0,4.2,5.4,4.5,25.0,0.0,9.3,0.0,1.0,A,0.703125,0.03918495297805643,0.075
27.0,0.1,0.05,4.5,3.9,1.2,0.05,1.6,0.02,1.0,A,0.7090909090909091,0.04285714285714286,0.045454545454545456
36.0,0.5,0.1,5.1,4.5,1.6,0.5,1.194,0.2,3.0,A,0.7377049180327869,0.043243243243243246,0.06666666666666667
65.0,3.3,0.6,2.6,2.5,5.8,0.36,1.5,0.144,4.0,A,0.6944444444444444,0.08787878787878788,0.13953488372093023
53.0,1.0,0.6,6.7,6.7,4.3,0.16,0.0,0.064,1.0,A,0.8701298701298701,0.07962962962962962,0.3
408.0,12.0,1.8,61.0,12.0,10.0,0.02,8.0,0.008,4.0,A,0.1935483870967742,0.02444987775061125,0.13846153846153847
209.0,1.79,0.36,38.0,0.0,5.71,1.0,9.29,0.4,4.0,A,0.0,0.027190476190476192,0.12903225806451613
158.0,7.2,2.4,1.2,0.0,22.0,0.9,0.0,0.36,4.0,A,0.0,0.13836477987421383,0.29268292682926833
103.0,1.9,0.5,0.5,0.0,21.0,1.3775,2.0,0.551,4.0,A,0.0,0.20192307692307693,0.1724137931034483
134.0,1.5,0.27,68.6,1.6,9.61,0.063,6.8,0.15,1.0,A,0.02298850574712644,0.07118518518518518,0.10800000000000001
372.0,7.0,1.3,59.0,0.7,14.0,0.025,10.0,0.01,1.0,A,0.011666666666666665,0.03753351206434316,0.1625
61.0,0.1,0.1,7.8,7.8,6.5,0.13,0.1,0.052,4.0,A,0.8863636363636362,0.10483870967741936,0.09090909090909091
0.0,0.0,0.0,0.0,0.0,0.0,8e-06,0.0,3e-06,1.0,A,0.0,0.0,0.0
43.0,1.1725,0.7775,3.235,3.22,3.79,0.11,1.125,0.15,1.0,A,0.7603305785123968,0.08613636363636364,0.35788262370540846
621.0,53.3,4.3,16.9,4.8,24.5,0.1,12.1,0.04,1.0,A,0.2681564245810056,0.03938906752411576,0.07918968692449356
79.0,5.2,0.4,5.6,5.0,1.1,0.865,28.0,0.346,4.0,A,0.7575757575757576,0.013750000000000002,0.06451612903225806
79.0,5.2,0.4,5.6,5.0,1.1,0.88,2.8,0.352,4.0,A,0.7575757575757576,0.013750000000000002,0.06451612903225806
105.0,2.0,0.7,0.9,0.0,21.0,1.2,0.0,0.48,4.0,A,0.0,0.19811320754716982,0.2333333333333333
38.0,1.5,1.0,5.2,4.0,10.0,0.12,2.0,0.048,4.0,A,0.6451612903225806,0.2564102564102564,0.4
373.0,7.9,1.3,60.0,1.0,11.0,0.01,10.0,0.004,1.0,A,0.01639344262295082,0.029411764705882353,0.14606741573033707
359.0,2.0,0.5,71.0,0.0,13.0,0.01,3.0,0.004,1.0,A,0.0,0.03611111111111111,0.16666666666666666
145.0,7.8,1.2,1.1,0.1,16.5,0.00015,1.9,6e-05,3.0,A,0.047619047619047616,0.11301369863013698,0.13636363636363635
40.0,2.6,0.4,3.4,3.3,0.9,0.7875,1.1,0.315,3.0,A,0.7499999999999999,0.021951219512195124,0.11111111111111112
0.0,0.0,0.0,0.0,0.0,0.0,0.000675,2.0,0.00027,1.0,A,0.0,0.0,0.0
98.0,2.7,0.5,13.0,0.0,3.7,0.56,3.2,0.224,4.0,A,0.0,0.03737373737373738,0.13513513513513511
60.0,2.0,1.4,4.7,0.0,5.8,0.16,2.0,0.064,4.0,A,0.0,0.09508196721311475,0.4666666666666666
